"Identifier","StartDate"
"2167129755","01-01-2007"
"2167129953","01-01-2007"
"2167130052","01-01-2007"
"2167130151","01-01-2007"
"2167130547","01-01-2007"
"2167130646","01-01-2007"
"2167130745","01-01-2007"
"2167130943","01-01-2007"
"2167131438","01-01-2007"
"2167131636","01-01-2007"
"2167131834","01-01-2007"
"2167132032","01-01-2007"
"2167132131","01-01-2007"
"2167132230","01-01-2007"
"2167132527","01-01-2007"
"2167132626","01-01-2007"
"2167132725","01-01-2007"
"2167132824","01-01-2007"
"2167132923","01-01-2007"
"2167133022","01-01-2007"
"2167133121","01-01-2007"
"2167133220","01-01-2007"
"2167133319","01-01-2007"
"2167133418","01-01-2007"
"2167133715","01-01-2007"
"2167133814","01-01-2007"
"2167133913","01-01-2007"
"2167134012","01-01-2007"
"2167134111","01-01-2007"
"2167134210","01-01-2007"
"2167134309","01-01-2007"
"2167134408","01-01-2007"
"2167134507","01-01-2007"
"2167134606","01-01-2007"
"2167134804","01-01-2007"
"2167134903","01-01-2007"
"2167135101","01-01-2007"
"2167135594","01-01-2007"
"2167135693","01-01-2007"
"2167135990","01-01-2007"
"2167136089","01-01-2007"
"2167136188","01-01-2007"
"2167136287","01-01-2007"
"2167136584","01-01-2007"
"2167136782","01-01-2007"
"2167136881","01-01-2007"
"2167137079","01-01-2007"
"2167137178","01-01-2007"
"2167137475","01-01-2007"
"2167137673","01-01-2007"
"2167137871","01-01-2007"
"2167137970","01-01-2007"
"2167138168","01-01-2007"
"2167138267","01-01-2007"
"2167138366","01-01-2007"
"2167138465","01-01-2007"
"2167138663","01-01-2007"
"2167139059","01-01-2007"
"2167139158","01-01-2007"
"2167139356","01-01-2007"
"2167139455","01-01-2007"
"2167139554","01-01-2007"
"2167139752","01-01-2007"
"2167140049","01-01-2007"
"2167140148","01-01-2007"
"2167140445","01-01-2007"
"2167140544","01-01-2007"
"2167140841","01-01-2007"
"2167141237","01-01-2007"
"2167141336","01-01-2007"
"2167141435","01-01-2007"
"2167141534","01-01-2007"
"2167141633","01-01-2007"
"2167142029","01-01-2007"
"2167142128","01-01-2007"
"2167142227","01-01-2007"
"2167142326","01-01-2007"
"2167142425","01-01-2007"
"2167142524","01-01-2007"
"2167142722","01-01-2007"
"2167143019","01-01-2007"
"2167143415","01-01-2007"
"2167143613","01-01-2007"
"2167143712","01-01-2007"
"2167144009","01-01-2007"
"2167144405","01-01-2007"
"2167144504","01-01-2007"
"2167144603","01-01-2007"
"2167144702","01-01-2007"
"2167144801","01-01-2007"
"2167144997","01-01-2007"
"2167145195","01-01-2007"
"2167145393","01-01-2007"
"2167145492","01-01-2007"
"2167145591","01-01-2007"
"2167145690","01-01-2007"
"2167145789","01-01-2007"
"2167145888","01-01-2007"
"2167145987","01-01-2007"
"2167146086","01-01-2007"
"2167146383","01-01-2007"
"2167147373","01-01-2007"
"2167148759","01-01-2007"
"2167150046","01-01-2007"
"2167150145","01-01-2007"
"2167150343","01-01-2007"
"2167150442","01-01-2007"
"2167150541","01-01-2007"
"2167150640","01-01-2007"
"2167150739","01-01-2007"
"2167150838","01-01-2007"
"2167151036","01-01-2007"
"2167151927","01-01-2007"
"2167152026","01-01-2007"
"2167152125","01-01-2007"
"2167152224","01-01-2007"
"2167152323","01-01-2007"
"2167152422","01-01-2007"
"2167152521","01-01-2007"
"2167152620","01-01-2007"
"2167152719","01-01-2007"
"2167152818","01-01-2007"
"2167152917","01-01-2007"
"2167153016","01-01-2007"
"2167153115","01-01-2007"
"2167153214","01-01-2007"
"2167153313","01-01-2007"
"2167153412","01-01-2007"
"2167153511","01-01-2007"
"2167153808","01-01-2007"
"2167153907","01-01-2007"
"2167154105","01-01-2007"
"2167154204",
"2167154303","01-01-2007"
"2167154402","01-01-2007"
"2167154501","01-01-2007"
"2167154796","01-01-2007"
"2167154895","01-01-2007"
"2167154994","01-01-2007"
"2167155093","01-01-1989"
"2167155192","01-01-2007"
"2167155291","15-01-1987"
"2167155390","01-01-2007"
"2167155489","01-01-2007"
"2167155588","01-01-2007"
"2167155687","01-01-2007"
"2167155786","01-01-2007"
"2167155885","01-01-2007"
"2167155984","01-01-2007"
"2167156083","01-01-2007"
"2167156182","01-01-2007"
"2167156380","01-01-2007"
"2167156479","01-01-2007"
"2167156578","01-01-2007"
"2167156677","01-01-2007"
"2167156776","01-01-2007"
"2167156875","01-01-2007"
"2167156974","01-01-2007"
"2167157073","01-01-2007"
"2167157172","01-01-2007"
"2167157271","01-01-2007"
"2167157370","01-01-2007"
"2167157568","01-01-2007"
"2167157667","01-01-2007"
"2167157865","01-01-2007"
"2167157964","01-01-2007"
"2167158063","01-01-2007"
"2167158162","01-01-2007"
"2167158261","01-01-2007"
"2167158360","01-01-2007"
"2167158459","01-01-2007"
"2167158558","01-01-2007"
"2167158657","01-01-2007"
"2167158756","01-01-2007"
"2167158855","01-01-2007"
"2167158954","01-01-2007"
"2167159053","01-01-2007"
"2167159152","01-01-2007"
"2167159251","01-01-2007"
"2167159449","01-01-2007"
"2167159548","01-01-2007"
"2167159647","01-01-2007"
"2167159746","01-01-2007"
"2167159845","01-01-2007"
"2167159944","01-01-2007"
"2167160043","01-01-2007"
"2167160142","01-01-2007"
"2167160241","01-01-2007"
"2167160340","01-01-2007"
"2167160439","01-01-2007"
"2167160538","01-01-2007"
"2167160637","01-01-2007"
"2167160736","01-01-2007"
"2167160835","01-01-2007"
"2167160934","01-01-2007"
"2167161033","01-01-2007"
"2167161231","01-01-2007"
"2167161330","01-01-2007"
"2167161429","01-01-2007"
"2167161528","01-01-2007"
"2167161627","01-01-2007"
"2167161726",
"2167161825","01-01-2007"
"2167161924","01-01-2007"
"2167162023","01-01-2007"
"2167162122","01-01-2007"
"2167162221","01-01-2007"
"2167162320","01-10-1957"
"2167162419","01-01-2007"
"2167162518",
"2167162617","01-01-2007"
"2167162716","01-01-2007"
"2167162815","01-01-2007"
"2167162914","01-01-2007"
"2167163013","01-01-2007"
"2167163310","01-01-2007"
"2167163409","01-01-2007"
"2167163508","01-01-2007"
"2167163607","01-01-2007"
"2167163706","01-01-2007"
"2167163805","01-01-2007"
"2167163904","01-01-2007"
"2167164003","01-01-2007"
"2167164102","01-01-2007"
"2167164397","01-01-2007"
"2167164595","01-01-2007"
"2167164694","01-01-2007"
"2167164892","01-01-2007"
"2167164991","01-01-2007"
"2167165090","01-01-2007"
"2167165189","01-01-2007"
"2167165288","01-01-2007"
"2167165387","01-01-2007"
"2167165486","01-01-2007"
"2167165585","01-01-2007"
"2167165684","01-01-2007"
"2167165783","01-01-2007"
"2167165981","01-01-2007"
"2167166080","01-01-2007"
"2167166278","01-01-2007"
"2167166377","01-01-2007"
"2167166476","01-01-2007"
"2167166575","01-01-2007"
"2167166674","01-01-2007"
"2167166773","01-01-2007"
"2167166872","01-01-2007"
"2167166971","01-01-2007"
"2167167070","01-01-2007"
"2167167169","01-01-2007"
"2167167268","01-01-2007"
"2167167466","01-01-2007"
"2167167565","01-01-2007"
"2167167664","01-01-2007"
"2167167763","01-01-2007"
"2167167862","01-01-2007"
"2167167961","01-01-2007"
"2167168060","01-01-2007"
"2167168159","01-01-2007"
"2167168258","01-01-2007"
"2167168357","01-01-2007"
"2167168456","01-01-2007"
"2167168555","01-01-2007"
